,PLAYER NAME,AVG
0,Seung-Yul Noh,"49' 7"""
1,Martin Laird,"51' 8"""
2,Phil Mickelson,"51' 8"""
3,Hudson Swafford,"52' 4"""
4,Dustin Johnson,"52' 6"""
5,Jhonattan Vegas,"52' 7"""
6,Carlos Ortiz,"52' 10"""
7,Nick Taylor,"53' 1"""
8,Robert Garrigus,"53' 10"""
9,Jonathan Randolph,"54' 2"""
10,Brooks Koepka,"55' 0"""
11,Derek Ernst,"55' 1"""
12,Graham DeLaet,"55' 4"""
13,Jordan Spieth,"55' 4"""
14,Henrik Stenson,"55' 4"""
15,Russell Knox,"55' 8"""
16,Keegan Bradley,"55' 10"""
17,Jonathan Byrd,"56' 3"""
18,Lee Westwood,"56' 9"""
19,Oscar Fraustro,"57' 0"""
20,Padraig Harrington,"57' 9"""
21,Michael Thompson,"57' 9"""
22,Jason Bohn,"57' 10"""
23,Patrick Rodgers,"58' 2"""
24,Daniel Summerhays,"58' 2"""
25,Rickie Fowler,"58' 3"""
26,Aaron Baddeley,"58' 4"""
27,Blayne Barber,"58' 5"""
28,Kevin Chappell,"58' 7"""
29,Retief Goosen,"58' 9"""
30,Jim Furyk,"58' 11"""
31,Nick Watney,"58' 11"""
32,Heath Slocum,"59' 0"""
33,Gary Woodland,"59' 2"""
34,Scott Pinckney,"59' 11"""
35,Jonas Blixt,"60' 1"""
36,Lucas Glover,"60' 5"""
37,Chez Reavie,"60' 5"""
38,Brendon de Jonge,"60' 11"""
39,D.A. Points,"61' 0"""
40,Andrew Putnam,"61' 1"""
41,Jim Herman,"61' 3"""
42,Morgan Hoffmann,"61' 3"""
43,Andres Romero,"61' 5"""
44,Webb Simpson,"61' 6"""
45,Andrew Svoboda,"61' 8"""
46,Willy Wilcox,"61' 8"""
47,Boo Weekley,"61' 9"""
48,Brian Harman,"62' 1"""
49,Jason Dufner,"62' 2"""
50,Patrick Reed,"62' 2"""
51,Scott Brown,"62' 3"""
52,Ernie Els,"62' 6"""
53,Justin Thomas,"62' 10"""
54,Justin Rose,"62' 11"""
55,Max Homa,"63' 1"""
56,Michael Putnam,"63' 1"""
57,Charles Howell III,"63' 3"""
58,Bo Van Pelt,"63' 3"""
59,John Senden,"63' 4"""
60,Bubba Watson,"63' 4"""
61,Sangmoon Bae,"63' 6"""
62,Troy Merritt,"63' 6"""
63,Rory Sabbatini,"63' 6"""
64,Jim Renner,"63' 7"""
65,Jeff Overton,"63' 9"""
66,Greg Owen,"63' 11"""
67,Zac Blair,"64' 0"""
68,Erik Compton,"64' 3"""
69,Kevin Kisner,"64' 7"""
70,Byron Smith,"64' 7"""
71,Billy Horschel,"64' 8"""
72,Russell Henley,"64' 9"""
73,Carl Pettersson,"65' 2"""
74,Chad Campbell,"65' 3"""
75,J.B. Holmes,"65' 4"""
76,Harris English,"66' 1"""
77,Mark Wilson,"66' 8"""
78,Matt Every,"66' 9"""
79,Scott Langley,"66' 11"""
80,Alex Cejka,"67' 0"""
81,Ben Martin,"67' 0"""
82,Charley Hoffman,"67' 1"""
83,Eric Axley,"67' 3"""
84,Chesson Hadley,"67' 5"""
85,Chris Stroud,"67' 7"""
86,Tim Wilkinson,"67' 9"""
87,Colt Knost,"68' 3"""
88,Bryce Molder,"68' 3"""
89,Steven Bowditch,"68' 4"""
90,Matt Jones,"68' 4"""
91,Brendon Todd,"68' 4"""
92,Paul Casey,"68' 5"""
93,Scott Stallings,"68' 6"""
94,John Merrick,"68' 7"""
95,Jimmy Walker,"68' 7"""
96,Shawn Stefani,"68' 8"""
97,Andres Gonzales,"68' 9"""
98,Ken Duke,"68' 10"""
99,Vijay Singh,"68' 11"""
100,Angel Cabrera,"69' 0"""
101,Zach Johnson,"69' 0"""
102,Kevin Streelman,"69' 2"""
103,Louis Oosthuizen,"69' 3"""
104,Scott Piercy,"69' 3"""
105,James Hahn,"69' 5"""
106,Tom Hoge,"69' 6"""
107,David Hearn,"69' 7"""
108,Ricky Barnes,"69' 9"""
109,Danny Lee,"69' 10"""
110,Derek Fathauer,"69' 11"""
111,Tony Finau,"69' 11"""
112,Brendan Steele,"69' 11"""
113,Adam Hadwin,"70' 0"""
114,Mark Hubbard,"70' 0"""
115,Kevin Na,"70' 1"""
116,Jason Day,"70' 5"""
117,Cameron Tringale,"70' 5"""
118,Ryan Moore,"70' 6"""
119,Ryo Ishikawa,"70' 7"""
120,Marc Leishman,"70' 8"""
121,Jason Gore,"70' 11"""
122,S.J. Park,"70' 11"""
123,Alex Prugh,"70' 11"""
124,Martin Flores,"71' 1"""
125,Sergio Garcia,"71' 4"""
126,Bill Haas,"71' 6"""
127,Brandt Snedeker,"71' 6"""
128,Charlie Beljan,"71' 7"""
129,Jamie Donaldson,"71' 7"""
130,Roger Sloan,"71' 7"""
131,Daniel Berger,"71' 8"""
132,J.J. Henry,"71' 8"""
133,Greg Chalmers,"71' 11"""
134,Hideki Matsuyama,"72' 0"""
135,Justin Leonard,"72' 1"""
136,Johnson Wagner,"72' 2"""
137,Nicholas Thompson,"72' 4"""
138,Charl Schwartzel,"72' 7"""
139,Ian Poulter,"72' 10"""
140,Brice Garnett,"73' 0"""
141,Geoff Ogilvy,"73' 1"""
142,Gonzalo Fdez-Castano,"73' 5"""
143,Sean O'Hair,"73' 9"""
144,Spencer Levin,"73' 10"""
145,Brian Davis,"73' 11"""
146,Steve Wheatcroft,"74' 0"""
147,Steven Alker,"74' 1"""
148,Robert Allenby,"74' 1"""
149,Jason Kokrak,"74' 1"""
150,Hunter Mahan,"74' 2"""
151,Adam Scott,"74' 3"""
152,Kyle Reifers,"74' 7"""
153,Chris Kirk,"74' 9"""
154,Stewart Cink,"74' 11"""
155,Luke Donald,"74' 11"""
156,George McNeill,"75' 0"""
157,Davis Love III,"75' 1"""
158,Pat Perez,"75' 3"""
159,Chad Collins,"75' 8"""
160,Camilo Villegas,"75' 8"""
161,John Peterson,"75' 9"""
162,David Toms,"75' 11"""
163,Bill Lunde,"76' 1"""
164,Luke Guthrie,"76' 2"""
165,Sam Saunders,"76' 3"""
166,Roberto Castro,"76' 11"""
167,Cameron Percy,"77' 11"""
168,David Lingmerth,"78' 5"""
169,Jerry Kelly,"79' 2"""
170,K.J. Choi,"79' 8"""
171,Matt Kuchar,"79' 9"""
172,William McGirt,"80' 4"""
173,Brian Stuard,"80' 4"""
174,Ryan Palmer,"80' 5"""
175,Robert Streb,"80' 7"""
176,Tyrone Van Aswegen,"81' 0"""
177,Ben Crane,"81' 1"""
178,Whee Kim,"82' 4"""
179,Fabian Gomez,"82' 8"""
180,John Huh,"83' 0"""
181,Jon Curran,"86' 7"""
182,Billy Hurley III,"87' 4"""
183,Francesco Molinari,"93' 10"""
