,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL BALL SPEED,TOTAL ATTEMPTS,FASTEST SPEED,SLOWEST SPEED
0,1,1,Bubba Watson,76,183.48,"9,540.98",52,188.49,178.60
1,2,2,Andrew Loupe,65,182.09,"8,740.37",48,188.95,154.51
2,3,3,Rory McIlroy,66,179.73,"8,627.01",48,184.65,174.00
3,4,4,Gary Woodland,93,179.48,"11,845.86",66,184.22,173.44
4,5,5,Jhonattan Vegas,77,179.43,"12,021.57",67,186.37,164.50
5,T6,T6,Dustin Johnson,58,179.38,"7,354.49",41,183.34,171.97
6,T6,T6,Brooks Koepka,56,179.38,"7,175.08",40,185.68,145.17
7,8,8,Jason Kokrak,65,178.99,"10,739.12",60,183.84,173.62
8,9,9,Charlie Beljan,76,178.54,"12,855.19",72,184.96,167.46
9,10,10,Adam Scott,68,177.26,"9,572.20",54,180.90,171.51
10,T11,T11,Robert Garrigus,80,177.16,"12,401.27",70,182.99,169.53
11,T11,T11,J.B. Holmes,86,177.16,"11,692.66",66,181.36,170.53
12,13,13,Graham DeLaet,80,177.04,"9,914.41",56,181.77,169.92
13,14,14,Jamie Lovemark,64,176.93,"7,784.81",44,181.62,169.44
14,15,15,Harris English,95,176.70,"11,308.64",64,181.97,170.87
15,16,16,Henrik Stenson,56,176.59,"4,768.06",27,182.76,170.83
16,17,17,Charles Howell III,106,175.92,"17,767.57",101,180.05,170.14
17,18,18,Robert Streb,75,175.88,"12,311.31",70,179.27,169.60
18,19,19,Angel Cabrera,69,175.75,"11,775.41",67,181.33,170.94
19,20,20,Seung-Yul Noh,92,175.46,"13,159.75",75,180.80,169.63
20,21,21,Charl Schwartzel,64,175.30,"9,115.57",52,179.98,169.00
21,22,22,Matt Jones,83,175.25,"12,267.28",70,180.60,170.44
22,23,23,Derek Ernst,80,174.83,"10,664.88",61,179.64,168.70
23,24,24,Sergio Garcia,61,174.72,"6,464.48",37,179.01,170.90
24,25,25,Paul Casey,56,174.52,"7,678.70",44,179.64,170.59
25,26,26,Aaron Baddeley,74,174.49,"10,120.63",58,180.51,167.61
26,27,27,Stewart Cink,91,174.40,"11,859.34",68,180.20,163.22
27,28,28,Hudson Swafford,75,174.21,"9,233.09",53,179.53,164.52
28,29,29,Kevin Tway,64,174.19,"8,360.95",48,179.56,165.29
29,30,30,Will Wilcox,51,174.17,"7,489.34",43,178.26,167.82
30,31,31,Rickie Fowler,91,174.14,"10,970.72",63,179.01,168.94
31,32,32,Nick Watney,80,174.10,"9,749.35",56,179.91,170.19
32,33,33,Ryan Palmer,85,174.03,"11,833.71",68,178.97,169.62
33,34,34,Brendan Steele,89,174.00,"12,876.14",74,178.99,168.87
34,35,35,Jimmy Walker,98,173.78,"12,338.72",71,177.87,168.35
35,36,36,Jason Day,54,173.75,"4,864.97",28,178.48,166.41
36,37,37,Martin Flores,85,173.42,"12,832.77",74,179.80,167.80
37,38,38,Scott Stallings,77,173.03,"11,074.11",64,178.79,168.05
38,39,39,Marc Leishman,81,172.93,"12,105.22",70,177.26,167.02
39,40,40,Keegan Bradley,89,172.86,"11,235.88",65,176.87,167.38
40,41,41,Charley Hoffman,93,172.71,"14,334.58",83,178.96,164.52
41,42,42,Trevor Immelman,84,172.65,"11,567.64",67,180.14,160.66
42,43,43,Lucas Glover,68,172.63,"8,631.38",50,176.78,160.04
43,44,44,Steven Bowditch,93,172.24,"13,951.50",81,181.49,155.59
44,45,45,Sean O'Hair,77,172.18,"10,675.10",62,176.69,162.36
45,46,46,Kevin Chappell,100,171.88,"15,469.37",90,177.08,160.74
46,47,47,Ricky Barnes,92,171.82,"13,573.39",79,176.28,167.42
47,48,48,George McNeill,79,171.60,"11,840.63",69,175.43,165.69
48,49,49,Michael Putnam,106,171.59,"15,957.55",93,176.38,165.63
49,50,50,Patrick Reed,92,171.55,"11,665.49",68,176.16,164.31
50,51,51,Louis Oosthuizen,50,171.42,"4,628.47",27,175.28,167.56
51,52,52,Martin Kaymer,65,171.31,"8,908.05",52,176.40,164.34
52,53,53,Kyle Stanley,87,171.29,"12,846.86",75,179.78,165.33
53,54,54,Martin Laird,66,171.13,"7,872.18",46,177.62,167.10
54,55,55,Phil Mickelson,71,171.11,"8,555.47",50,179.78,161.13
55,56,56,Ryo Ishikawa,75,171.06,"9,921.26",58,176.12,167.31
56,57,57,John Rollins,84,171.01,"10,944.33",64,176.40,164.71
57,58,58,Shawn Stefani,60,170.93,"9,571.80",56,177.71,160.43
58,59,59,Lee Westwood,57,170.85,"7,175.64",42,177.58,164.89
