,PLAYER NAME,AVG.
0,Bubba Watson,184.54
1,Tony Finau,182.68
2,Charlie Beljan,182.14
3,Dustin Johnson,181.43
4,Adam Scott,179.72
5,Brooks Koepka,179.63
6,J.B. Holmes,179.59
7,Jason Kokrak,179.15
8,Jhonattan Vegas,178.52
9,Patrick Rodgers,178.29
10,Jason Day,178.23
11,Henrik Stenson,177.73
12,Charles Howell III,177.66
13,Hudson Swafford,177.12
14,Harris English,176.55
15,Daniel Berger,176.39
16,Robert Garrigus,176.18
17,Gary Woodland,175.93
18,Sergio Garcia,175.53
19,Aaron Baddeley,175.43
20,Brendan Steele,175.33
21,Angel Cabrera,175.10
22,Derek Ernst,174.90
23,Steven Bowditch,174.56
24,Charl Schwartzel,174.56
25,Keegan Bradley,174.55
26,Nick Watney,174.39
27,Rickie Fowler,174.37
28,Jimmy Walker,174.29
29,Martin Flores,174.05
30,Martin Laird,173.75
31,Robert Streb,173.48
32,Stewart Cink,173.46
33,Justin Thomas,173.46
34,Graham DeLaet,173.36
35,Paul Casey,173.34
36,Charley Hoffman,173.25
37,Willy Wilcox,173.18
38,Max Homa,172.99
39,Lucas Glover,172.93
40,Seung-Yul Noh,172.86
41,Kevin Chappell,172.85
42,Ryan Palmer,172.79
43,Phil Mickelson,172.74
44,Patrick Reed,172.74
45,Russell Henley,172.70
46,Matt Jones,172.65
47,Scott Piercy,171.98
48,Shawn Stefani,171.97
49,Carlos Ortiz,171.93
50,Michael Putnam,171.92
51,Scott Pinckney,171.89
52,Andres Gonzales,171.88
53,Jim Herman,171.65
54,Marc Leishman,171.52
55,Louis Oosthuizen,171.42
56,Scott Stallings,171.29
57,Jamie Donaldson,171.28
58,Alex Prugh,171.22
59,Justin Rose,171.14
60,Byron Smith,170.81
61,Roger Sloan,170.74
62,John Senden,170.64
63,Sean O'Hair,170.56
64,Ryo Ishikawa,170.53
65,Ricky Barnes,170.51
66,Hideki Matsuyama,170.48
67,Lee Westwood,170.44
68,George McNeill,170.08
69,Gonzalo Fdez-Castano,170.07
70,Padraig Harrington,169.80
71,Greg Owen,169.52
72,Andres Romero,169.44
73,Camilo Villegas,169.43
74,Geoff Ogilvy,169.40
75,Adam Hadwin,169.37
76,J.J. Henry,169.18
77,Morgan Hoffmann,169.03
78,Sam Saunders,168.98
79,Jonathan Randolph,168.87
80,James Hahn,168.78
81,Jordan Spieth,168.77
82,Retief Goosen,168.71
83,Billy Horschel,168.53
84,Boo Weekley,168.49
85,Sangmoon Bae,168.35
86,Ben Martin,168.18
87,Tom Hoge,168.01
88,Michael Thompson,167.90
89,Tyrone Van Aswegen,167.62
90,Johnson Wagner,167.58
91,Carl Pettersson,167.56
92,Hunter Mahan,167.44
93,Chesson Hadley,167.41
94,Bo Van Pelt,167.39
95,Matt Every,167.30
96,Brendon de Jonge,167.28
97,Eric Axley,167.18
98,Blayne Barber,167.04
99,Davis Love III,167.03
100,Kevin Streelman,166.87
101,Nick Taylor,166.81
102,Vijay Singh,166.60
103,Erik Compton,166.56
104,Scott Brown,166.53
105,Derek Fathauer,166.49
106,Troy Merritt,166.49
107,Cameron Percy,166.44
108,Jason Dufner,166.35
109,Jonas Blixt,166.32
110,Andrew Svoboda,166.29
111,Pat Perez,166.26
112,Kyle Reifers,166.20
113,Jason Gore,166.12
114,Ian Poulter,166.10
115,S.J. Park,166.07
116,Luke Guthrie,165.90
117,Oscar Fraustro,165.81
118,Rory Sabbatini,165.79
119,Ernie Els,165.66
120,Jonathan Byrd,165.65
121,Bill Haas,165.52
122,Brandt Snedeker,165.38
123,Brice Garnett,165.30
124,D.A. Points,165.12
125,Jim Renner,165.11
126,John Peterson,165.04
127,David Lingmerth,164.99
128,Kevin Kisner,164.95
129,Chad Campbell,164.59
130,Chris Kirk,164.57
131,Nicholas Thompson,164.54
132,Jeff Overton,164.50
133,Bill Lunde,164.46
134,Kevin Na,164.41
135,Mark Hubbard,164.18
136,Fabian Gomez,164.12
137,Steve Wheatcroft,164.09
138,Andrew Putnam,164.02
139,Robert Allenby,163.93
140,Whee Kim,163.86
141,Daniel Summerhays,163.86
142,Matt Kuchar,163.84
143,Webb Simpson,163.60
144,Roberto Castro,163.55
145,William McGirt,163.52
146,Spencer Levin,163.37
147,John Merrick,163.22
148,Brian Harman,163.14
149,Russell Knox,163.12
150,Chris Stroud,162.93
151,Danny Lee,162.83
152,Scott Langley,162.59
153,Chez Reavie,162.36
154,John Huh,162.23
155,Greg Chalmers,162.18
156,Ken Duke,162.18
157,Francesco Molinari,162.10
158,Chad Collins,162.03
159,Luke Donald,161.67
160,Jim Furyk,161.63
161,Ryan Moore,161.62
162,Cameron Tringale,161.60
163,Alex Cejka,160.88
164,Zach Johnson,160.82
165,Bryce Molder,160.78
166,Jason Bohn,160.52
167,Tim Wilkinson,160.06
168,David Hearn,159.94
169,K.J. Choi,159.44
170,Brian Stuard,159.25
171,Zac Blair,158.92
172,Billy Hurley III,158.73
173,Jerry Kelly,158.24
174,Brendon Todd,157.94
175,Mark Wilson,157.90
176,Colt Knost,157.70
177,Brian Davis,157.10
178,Ben Crane,156.60
179,Steven Alker,156.39
180,Jon Curran,155.71
181,Justin Leonard,155.56
182,Heath Slocum,154.40
183,David Toms,152.78
