,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DIST AFTER TEE SHOT,TOTAL TEE SHOTS
0,1,1,Bubba Watson,76,155.9,"4,316,448.000",769
1,2,2,Dustin Johnson,58,156.8,"3,160,557.000",560
2,3,3,Jamie Lovemark,64,159.5,"3,663,220.000",638
3,4,4,Andrew Loupe,65,159.9,"3,944,355.000",685
4,5,5,Rory McIlroy,66,162.4,"3,881,394.000",664
5,6,6,Brooks Koepka,56,165.1,"3,423,512.000",576
6,7,7,Charlie Beljan,76,165.3,"5,475,242.000",920
7,8,8,Charles Howell III,106,165.5,"7,808,836.000","1,311"
8,9,9,Ryan Palmer,85,165.6,"5,519,584.000",926
9,10,10,J.B. Holmes,86,166.5,"6,337,512.000","1,057"
10,11,11,Angel Cabrera,69,167.1,"5,076,679.000",844
11,T12,T12,Robert Garrigus,80,167.2,"5,972,212.000",992
12,T12,T12,Jimmy Walker,98,167.2,"6,103,976.000","1,014"
13,T14,T14,Steven Bowditch,93,167.4,"6,386,839.000","1,060"
14,T14,T14,Adam Scott,68,167.4,"4,712,166.000",782
15,16,16,Harris English,95,167.9,"6,152,185.000","1,018"
16,T17,T17,Sean O'Hair,77,168.0,"5,504,828.000",910
17,T17,T17,Jhonattan Vegas,77,168.0,"5,335,621.000",882
18,19,19,Jason Day,54,168.3,"2,787,153.000",460
19,20,20,Will Wilcox,51,168.7,"3,346,576.000",551
20,21,21,Charley Hoffman,93,168.8,"6,326,306.000","1,041"
21,22,22,Jason Kokrak,65,168.9,"5,051,991.000",831
22,23,23,Kyle Stanley,87,169.1,"5,996,402.000",985
23,T24,T24,Morgan Hoffmann,103,169.2,"7,500,071.000","1,231"
24,T24,T24,Robert Streb,75,169.2,"5,408,897.000",888
25,T24,T24,Gary Woodland,93,169.2,"6,134,482.000","1,007"
26,T27,T27,Graham DeLaet,80,169.4,"5,343,736.000",876
27,T27,T27,Troy Matteson,62,169.4,"4,080,463.000",669
28,T29,T29,Bud Cauley,56,169.6,"3,833,457.000",628
29,T29,T29,Kevin Stadler,90,169.6,"5,453,020.000",893
30,31,31,Carl Pettersson,91,169.7,"7,123,689.000","1,166"
31,32,32,Tommy Gainey,73,170.0,"5,006,996.000",818
32,33,33,Matt Jones,83,170.2,"5,049,253.000",824
33,34,34,Lucas Glover,68,170.5,"3,921,433.000",639
34,T35,T35,Derek Ernst,80,170.8,"5,343,336.000",869
35,T35,T35,Louis Oosthuizen,50,170.8,"2,526,940.000",411
36,37,37,Boo Weekley,73,171.3,"4,798,444.000",778
37,T38,T38,Patrick Reed,92,171.5,"6,351,998.000","1,029"
38,T38,T38,Kevin Tway,64,171.5,"3,977,061.000",644
39,40,40,Charl Schwartzel,64,171.7,"4,617,893.000",747
40,41,41,Martin Kaymer,65,171.9,"4,072,047.000",658
41,T42,T42,Keegan Bradley,89,172.0,"5,695,811.000",920
42,T42,T42,Hudson Swafford,75,172.0,"4,927,993.000",796
43,44,44,Wes Roach,67,172.1,"4,220,307.000",681
44,T45,T45,Jim Herman,62,172.2,"4,129,283.000",666
45,T45,T45,John Peterson,62,172.2,"4,691,522.000",757
