,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
0,T1,T1,Paul Casey,56,19.0,"49,202.000",72
1,T1,T1,Hideki Matsuyama,82,19.0,"86,813.000",127
2,3,3,Martin Laird,66,20.0,"87,769.000",122
3,T4,T4,Charlie Beljan,76,20.1,"89,721.000",124
4,T4,T4,Ryan Moore,86,20.1,"84,543.000",117
5,6,6,Brad Fritsch,50,20.3,"48,956.000",67
6,7,7,Lucas Glover,68,20.4,"72,818.000",99
7,T8,T8,Jason Day,54,20.6,"49,721.000",67
8,T8,T8,Johnson Wagner,69,20.6,"64,611.000",87
9,10,10,Tyrone Van Aswegen,79,20.8,"65,823.000",88
10,T11,T11,Jason Dufner,57,20.9,"56,557.000",75
11,T11,T11,Brendan Steele,89,20.9,"103,853.000",138
12,13,13,Dustin Johnson,58,21.0,"80,285.000",106
13,14,14,Kevin Tway,64,21.3,"66,015.000",86
14,T15,T15,Jonas Blixt,64,21.4,"51,707.000",67
15,T15,T15,Rory McIlroy,66,21.4,"106,524.000",138
16,T15,T15,Sean O'Hair,77,21.4,"103,913.000",135
17,18,18,Will Wilcox,51,21.5,"65,107.000",84
18,19,19,Russell Knox,92,21.8,"88,795.000",113
19,20,20,Keegan Bradley,89,21.9,"113,713.000",144
20,T21,T21,Justin Hicks,103,22.0,"99,682.000",126
21,T21,T21,Nicholas Thompson,85,22.0,"87,967.000",111
22,T23,T23,Jim Herman,62,22.1,"71,727.000",90
23,T23,T23,Martin Kaymer,65,22.1,"87,699.000",110
24,T25,T25,Robert Allenby,83,22.3,"80,152.000",100
25,T25,T25,Stewart Cink,91,22.3,"94,808.000",118
26,T27,T27,Kevin Chappell,100,22.4,"128,745.000",160
27,T27,T27,Bill Haas,107,22.4,"123,591.000",153
28,T27,T27,Zach Johnson,97,22.4,"104,625.000",130
29,T27,T27,Bubba Watson,76,22.4,"111,458.000",138
30,T31,T31,James Hahn,82,22.5,"97,814.000",121
31,T31,T31,Ben Martin,80,22.5,"85,062.000",105
32,T33,T33,James Driscoll,71,22.6,"76,478.000",94
33,T33,T33,Gonzalo Fdez-Castano,83,22.6,"95,255.000",117
34,T33,T33,Wes Roach,67,22.6,"71,553.000",88
35,T33,T33,Bo Van Pelt,83,22.6,"83,913.000",103
36,T33,T33,Nick Watney,80,22.6,"82,279.000",101
37,T38,T38,Steven Bowditch,93,22.7,"135,733.000",166
38,T38,T38,Marc Leishman,81,22.7,"116,013.000",142
39,T38,T38,Kyle Stanley,87,22.7,"129,660.000",159
40,41,41,Ian Poulter,57,22.8,"56,721.000",69
41,T42,T42,Martin Flores,85,22.9,"97,906.000",119
42,T42,T42,Davis Love III,74,22.9,"84,837.000",103
43,T44,T44,Carl Pettersson,91,23.0,"131,846.000",159
44,T44,T44,Josh Teater,90,23.0,"111,070.000",134
45,T46,T46,Henrik Stenson,56,23.1,"79,097.000",95
46,T46,T46,Hudson Swafford,75,23.1,"85,635.000",103
47,T48,T48,Graham DeLaet,80,23.2,"111,106.000",133
48,T48,T48,Tommy Gainey,73,23.2,"87,644.000",105
49,T48,T48,Charley Hoffman,93,23.2,"139,356.000",167
50,T48,T48,Adam Scott,68,23.2,"110,865.000",133
51,T48,T48,Michael Thompson,74,23.2,"82,729.000",99
52,T53,T53,Angel Cabrera,69,23.3,"109,742.000",131
53,T53,T53,Chad Campbell,57,23.3,"52,741.000",63
54,T53,T53,Jim Furyk,84,23.3,"62,002.000",74
55,T53,T53,Robert Garrigus,80,23.3,"148,526.000",177
56,T53,T53,Charl Schwartzel,64,23.3,"102,477.000",122
57,T53,T53,Kevin Streelman,79,23.3,"101,495.000",121
58,T59,T59,Harris English,95,23.4,"142,404.000",169
59,T59,T59,Charles Howell III,106,23.4,"162,895.000",193
60,T59,T59,Brooks Koepka,56,23.4,"74,058.000",88
61,T59,T59,Andrew Svoboda,77,23.4,"90,087.000",107
62,T59,T59,Camilo Villegas,95,23.4,"116,314.000",138
63,T64,T64,Aaron Baddeley,74,23.5,"94,878.000",112
64,T64,T64,Ben Curtis,77,23.5,"61,692.000",73
65,T64,T64,Ryo Ishikawa,75,23.5,"99,686.000",118
66,T64,T64,Troy Matteson,62,23.5,"72,045.000",85
67,T64,T64,Kevin Na,94,23.5,"122,652.000",145
68,T64,T64,D.A. Points,75,23.5,"74,472.000",88
69,T64,T64,Jim Renner,61,23.5,"63,394.000",75
70,T64,T64,Kevin Stadler,90,23.5,"122,860.000",145
71,T64,T64,Robert Streb,75,23.5,"96,424.000",114
72,T73,T73,Kevin Kisner,85,23.6,"93,451.000",110
73,T73,T73,Michael Putnam,106,23.6,"160,382.000",189
74,T75,T75,Brian Harman,111,23.7,"130,632.000",153
75,T75,T75,J.B. Holmes,86,23.7,"151,585.000",178
76,T75,T75,Billy Hurley III,86,23.7,"68,178.000",80
77,T75,T75,Trevor Immelman,84,23.7,"92,138.000",108
78,T75,T75,Heath Slocum,71,23.7,"60,670.000",71
79,T80,T80,J.J. Henry,91,23.8,"95,106.000",111
80,T80,T80,Matt Jones,83,23.8,"119,033.000",139
81,T80,T80,John Peterson,62,23.8,"101,155.000",118
82,T80,T80,John Rollins,84,23.8,"83,088.000",97
83,84,84,Chesson Hadley,84,23.9,"103,178.000",120
84,85,85,"Ted Potter, Jr.",68,24.0,"74,213.000",86
85,T86,T86,Jordan Spieth,102,24.1,"126,481.000",146
86,T86,T86,Daniel Summerhays,98,24.1,"142,309.000",164
87,T88,T88,Ricky Barnes,92,24.2,"110,449.000",127
88,T88,T88,Billy Horschel,92,24.2,"121,829.000",140
89,T88,T88,Mike Weir,69,24.2,"51,457.000",59
90,91,91,K.J. Choi,80,24.3,"69,214.000",79
91,92,92,Morgan Hoffmann,103,24.4,"152,815.000",174
92,T93,T93,John Senden,99,24.5,"128,571.000",146
93,T93,T93,Scott Stallings,77,24.5,"104,901.000",119
94,T95,T95,Bud Cauley,56,24.6,"72,636.000",82
95,T95,T95,Chris Kirk,105,24.6,"136,998.000",155
96,T95,T95,Spencer Levin,59,24.6,"59,434.000",67
97,T95,T95,Pat Perez,84,24.6,"107,196.000",121
98,T95,T95,Webb Simpson,87,24.6,"116,699.000",132
99,T95,T95,Jhonattan Vegas,77,24.6,"124,637.000",141
100,101,101,Brandt Snedeker,89,24.7,"97,891.000",110
101,T102,T102,Roberto Castro,76,24.8,"76,684.000",86
102,T102,T102,Luke Guthrie,85,24.8,"112,601.000",126
103,T102,T102,Bryce Molder,77,24.8,"63,315.000",71
104,T102,T102,Vijay Singh,83,24.8,"115,213.000",129
105,T106,T106,Briny Baird,50,24.9,"60,870.000",68
106,T106,T106,Brendon de Jonge,109,24.9,"147,873.000",165
107,T106,T106,Rickie Fowler,91,24.9,"128,957.000",144
108,T106,T106,Andres Romero,81,24.9,"129,088.000",144
109,T106,T106,Brian Stuard,91,24.9,"98,794.000",110
110,T111,T111,Jason Bohn,81,25.0,"80,189.000",89
111,T111,T111,Will MacKenzie,82,25.0,"117,835.000",131
