,PLAYER NAME,VALUE
0,Henrik Stenson,2
1,Willy Wilcox,6
2,Jim Herman,11
3,Paul Casey,13
4,Justin Rose,13
5,Lucas Glover,21
6,Graham DeLaet,27
7,Adam Scott,31
8,Hideki Matsuyama,33
9,Billy Horschel,36
10,Alex Prugh,40
11,Chez Reavie,40
12,Kevin Streelman,41
13,Daniel Berger,48
14,Francesco Molinari,49
15,Hudson Swafford,49
16,Brendan Steele,56
17,Jason Dufner,58
18,Brooks Koepka,59
19,Shawn Stefani,59
20,Keegan Bradley,63
21,Bubba Watson,63
22,Russell Knox,65
23,Jason Day,67
24,Justin Thomas,68
25,Nicholas Thompson,69
26,John Peterson,72
27,Webb Simpson,73
28,Bill Haas,75
29,Russell Henley,76
30,Robert Streb,76
31,Louis Oosthuizen,77
32,Davis Love III,78
33,Jim Furyk,80
34,Jason Gore,81
35,Zach Johnson,86
36,Spencer Levin,89
37,Ben Martin,90
38,John Senden,90
39,Johnson Wagner,92
40,Sergio Garcia,93
41,Boo Weekley,94
42,Derek Ernst,100
43,John Merrick,100
44,Jordan Spieth,101
45,J.J. Henry,102
46,Jason Bohn,108
47,Chad Campbell,109
48,Greg Owen,109
49,Carlos Ortiz,112
50,Nick Watney,119
51,Patrick Rodgers,121
52,Lee Westwood,121
53,Jonathan Byrd,122
54,Charlie Beljan,123
55,Michael Putnam,124
56,Bill Lunde,126
57,Rickie Fowler,128
58,Kevin Kisner,129
59,Jason Kokrak,129
60,Pat Perez,129
61,Kevin Chappell,130
62,Dustin Johnson,132
63,Ryan Palmer,133
64,Adam Hadwin,134
65,Stewart Cink,135
66,Harris English,139
67,Tony Finau,139
68,William McGirt,139
69,Brendon de Jonge,140
70,Martin Flores,142
71,Martin Laird,145
72,Brian Harman,147
73,Colt Knost,147
74,Scott Piercy,149
75,Charles Howell III,150
76,Gary Woodland,150
77,Sam Saunders,151
78,Charl Schwartzel,152
79,Steven Alker,159
80,James Hahn,160
81,David Lingmerth,160
82,Scott Pinckney,160
83,Blayne Barber,165
84,Charley Hoffman,168
85,Matt Kuchar,169
86,Cameron Percy,170
87,Rory Sabbatini,171
88,Byron Smith,171
89,Ryan Moore,176
90,Geoff Ogilvy,178
91,Brice Garnett,183
92,Sean O'Hair,183
93,George McNeill,184
94,David Hearn,185
95,Jerry Kelly,186
96,Bo Van Pelt,189
97,Mark Wilson,191
98,Hunter Mahan,194
99,Andres Gonzales,195
100,Mark Hubbard,197
101,Kyle Reifers,199
102,Matt Jones,207
103,John Huh,210
104,Vijay Singh,211
105,Brendon Todd,211
106,Cameron Tringale,212
107,Jamie Donaldson,215
108,Whee Kim,217
109,Roberto Castro,218
110,Ian Poulter,218
111,Robert Garrigus,219
112,S.J. Park,220
113,Jhonattan Vegas,221
114,Jimmy Walker,222
115,Jon Curran,227
116,David Toms,228
117,Steve Wheatcroft,229
118,Robert Allenby,230
119,Scott Brown,231
120,Tom Hoge,232
121,Chris Stroud,234
122,Zac Blair,238
123,J.B. Holmes,238
124,Angel Cabrera,239
125,Alex Cejka,241
126,Danny Lee,241
127,Bryce Molder,244
128,Ken Duke,254
129,Brandt Snedeker,254
130,Chad Collins,256
131,Oscar Fraustro,256
132,Tyrone Van Aswegen,257
133,Marc Leishman,260
134,Ryo Ishikawa,262
135,Gonzalo Fdez-Castano,264
136,Justin Leonard,264
137,Brian Stuard,264
138,Seung-Yul Noh,265
139,Daniel Summerhays,265
140,Phil Mickelson,266
141,Billy Hurley III,267
142,Steven Bowditch,269
143,Roger Sloan,269
144,Scott Stallings,272
145,Heath Slocum,274
146,Michael Thompson,279
147,Jeff Overton,281
148,Chris Kirk,283
149,Ernie Els,292
150,Luke Donald,294
151,Troy Merritt,295
152,Sangmoon Bae,296
153,Nick Taylor,297
154,Ben Crane,298
155,Jim Renner,299
156,Carl Pettersson,300
157,Brian Davis,302
158,Kevin Na,302
159,Scott Langley,303
160,Patrick Reed,303
161,Max Homa,304
162,Chesson Hadley,308
163,K.J. Choi,309
164,Greg Chalmers,312
165,Erik Compton,318
166,Jonathan Randolph,319
167,Morgan Hoffmann,320
168,Jonas Blixt,321
169,Andrew Svoboda,321
170,Retief Goosen,322
171,Fabian Gomez,324
172,Andres Romero,325
173,Luke Guthrie,327
174,D.A. Points,327
175,Camilo Villegas,333
176,Tim Wilkinson,335
177,Aaron Baddeley,337
178,Derek Fathauer,353
179,Padraig Harrington,354
180,Eric Axley,357
181,Matt Every,364
182,Ricky Barnes,365
183,Andrew Putnam,367
