,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
0,1,1,Graham DeLaet,80,"41' 1""","8,182.417",199,-41
1,2,2,Hideki Matsuyama,82,"43' 10""","8,902.333",203,-26
2,3,3,Rory McIlroy,66,"44' 1""","7,223.750",164,-45
3,T4,T4,Keegan Bradley,89,"44' 4""","10,072.750",227,-36
4,T4,T4,Paul Casey,56,"44' 4""","6,032.167",136,-20
5,6,6,Jim Furyk,84,"44' 11""","10,288.750",229,-22
6,T7,T7,Jason Bohn,81,"45' 6""","11,383.000",250,-27
7,T7,T7,Andrew Svoboda,77,"45' 6""","9,696.667",213,-20
8,9,9,Jim Renner,61,"45' 7""","7,196.167",158,-8
9,T10,T10,Charlie Beljan,76,"45' 8""","7,767.333",170,-22
10,T10,T10,Dustin Johnson,58,"45' 8""","4,658.583",102,-26
11,T10,T10,Brendan Steele,89,"45' 8""","10,098.000",221,-36
12,T13,T13,Stewart Cink,91,"45' 9""","9,563.750",209,-26
13,T13,T13,Sergio Garcia,61,"45' 9""","6,179.917",135,-22
14,T15,T15,Zach Johnson,97,"45' 10""","13,151.583",287,-47
15,T15,T15,Jason Kokrak,65,"45' 10""","8,531.417",186,-27
16,17,17,Tim Clark,75,"45' 11""","9,188.833",200,-7
17,T18,T18,Brad Fritsch,50,"46' 0""","5,563.000",121,-24
18,T18,T18,Russell Knox,92,"46' 0""","11,365.417",247,-19
19,T18,T18,Nick Watney,80,"46' 0""","7,961.917",173,-27
20,21,21,Bo Van Pelt,83,"46' 2""","8,586.167",186,-34
21,22,22,Brooks Koepka,56,"46' 3""","6,057.333",131,-17
22,23,23,Lucas Glover,68,"46' 5""","7,197.750",155,-20
23,24,24,Jordan Spieth,102,"46' 9""","10,746.333",230,-55
24,25,25,Bryce Molder,77,"46' 11""","8,487.667",181,-18
25,26,26,Tyrone Van Aswegen,79,"47' 0""","8,321.333",177,-21
26,T27,T27,Robert Allenby,83,"47' 2""","9,534.667",202,-19
27,T27,T27,Hudson Swafford,75,"47' 2""","8,534.667",181,-27
28,T29,T29,Matt Every,85,"47' 5""","8,959.833",189,-31
29,T29,T29,Patrick Reed,92,"47' 5""","10,960.167",231,-31
30,T31,T31,Marc Leishman,81,"47' 6""","10,015.750",211,-19
31,T31,T31,Brian Stuard,91,"47' 6""","11,734.750",247,-23
32,33,33,Heath Slocum,71,"47' 7""","9,709.583",204,-16
33,T34,T34,Brian Harman,111,"47' 8""","14,214.750",298,-45
34,T34,T34,Martin Kaymer,65,"47' 8""","7,716.833",162,-27
35,36,36,Troy Merritt,62,"47' 9""","7,304.500",153,-15
36,37,37,Charl Schwartzel,64,"47' 10""","8,848.583",185,-39
37,T38,T38,Graeme McDowell,66,"47' 11""","8,284.500",173,-6
38,T38,T38,Jimmy Walker,98,"47' 11""","10,397.000",217,-37
39,T40,T40,Kevin Chappell,100,"48' 1""","14,032.250",292,-45
40,T40,T40,Luke Donald,57,"48' 1""","7,839.333",163,-18
41,T40,T40,Martin Laird,66,"48' 1""","8,175.167",170,-34
42,43,43,Scott Brown,100,"48' 2""","13,000.250",270,-36
43,44,44,Ian Poulter,57,"48' 4""","6,429.750",133,-10
44,T45,T45,Jason Day,54,"48' 5""","5,568.333",115,-12
45,T45,T45,Ernie Els,85,"48' 5""","9,578.583",198,-36
46,T45,T45,Chesson Hadley,84,"48' 5""","10,067.333",208,-3
47,T45,T45,Ben Martin,80,"48' 5""","9,153.250",189,-24
48,T45,T45,Seung-Yul Noh,92,"48' 5""","10,902.250",225,-29
49,50,50,Jamie Lovemark,64,"48' 6""","6,402.750",132,-22
50,T51,T51,Angel Cabrera,69,"48' 7""","9,421.583",194,-12
51,T51,T51,Harris English,95,"48' 7""","11,228.750",231,-48
52,T51,T51,Justin Rose,70,"48' 7""","8,647.417",178,-33
53,54,54,Robert Garrigus,80,"48' 8""","10,360.750",213,-36
54,T55,T55,Chad Campbell,57,"48' 9""","6,289.167",129,-11
55,T55,T55,Charley Hoffman,93,"48' 9""","10,192.750",209,-22
56,T57,T57,Charles Howell III,106,"48' 10""","12,017.167",246,-32
57,T57,T57,Kevin Stadler,90,"48' 10""","10,019.000",205,-38
58,T57,T57,Camilo Villegas,95,"48' 10""","11,874.500",243,-24
59,60,60,Will MacKenzie,82,"48' 11""","12,227.833",250,-28
60,61,61,Kevin Na,94,"49' 0""","13,169.833",269,-41
61,62,62,James Hahn,82,"49' 1""","9,613.833",196,-25
62,T63,T63,Billy Hurley III,86,"49' 2""","11,359.500",231,+1
63,T63,T63,Jeff Maggert,54,"49' 2""","6,191.167",126,-2
64,T63,T63,Adam Scott,68,"49' 2""","9,345.250",190,-46
65,66,66,Josh Teater,90,"49' 3""","10,445.667",212,-40
66,T67,T67,Erik Compton,88,"49' 4""","10,997.667",223,-22
67,T67,T67,Jerry Kelly,80,"49' 4""","9,668.417",196,-17
68,T67,T67,Davis Love III,74,"49' 4""","9,080.083",184,-13
69,T67,T67,Michael Putnam,106,"49' 4""","14,944.167",303,-46
70,T71,T71,Russell Henley,92,"49' 5""","11,864.750",240,-21
71,T71,T71,George McNeill,79,"49' 5""","11,512.333",233,-24
72,T71,T71,John Peterson,62,"49' 5""","8,701.250",176,-18
73,T74,T74,Scott Langley,95,"49' 8""","11,030.333",222,-24
74,T74,T74,Bubba Watson,76,"49' 8""","9,142.583",184,-34
75,T76,T76,Wes Roach,67,"49' 9""","7,660.417",154,-14
76,T76,T76,Henrik Stenson,56,"49' 9""","8,360.333",168,-13
77,T78,T78,Jeff Overton,80,"49' 10""","9,716.417",195,-23
78,T78,T78,Pat Perez,84,"49' 10""","10,972.167",220,-18
79,T78,T78,John Senden,99,"49' 10""","13,146.333",264,-46
80,T78,T78,Robert Streb,75,"49' 10""","8,817.917",177,-17
81,82,82,Jim Herman,62,"49' 11""","7,033.333",141,-8
82,83,83,Billy Horschel,92,"50' 0""","11,602.833",232,-53
83,T84,T84,Briny Baird,50,"50' 1""","6,705.917",134,-22
84,T84,T84,Steven Bowditch,93,"50' 1""","11,409.583",228,-38
85,T84,T84,Gonzalo Fdez-Castano,83,"50' 1""","10,972.417",219,-19
86,T84,T84,Brice Garnett,92,"50' 1""","11,109.583",222,-26
87,T88,T88,Ben Crane,81,"50' 3""","12,365.000",246,E
88,T88,T88,Ryan Moore,86,"50' 3""","10,961.417",218,-27
89,T88,T88,Scott Stallings,77,"50' 3""","9,090.583",181,-5
90,T88,T88,Cameron Tringale,111,"50' 3""","16,980.500",338,-40
91,T92,T92,Jonas Blixt,64,"50' 4""","6,792.833",135,-12
92,T92,T92,Brendon de Jonge,109,"50' 4""","14,454.833",287,-36
93,T92,T92,Phil Mickelson,71,"50' 4""","8,160.083",162,-24
94,T95,T95,Rickie Fowler,91,"50' 5""","10,539.833",209,-35
95,T95,T95,Kyle Stanley,87,"50' 5""","11,950.333",237,-20
96,T95,T95,Mark Wilson,69,"50' 5""","8,766.917",174,-15
97,T98,T98,Jason Dufner,57,"50' 6""","6,569.417",130,-20
98,T98,T98,Morgan Hoffmann,103,"50' 6""","13,273.000",263,-45
99,T100,T100,Martin Flores,85,"50' 7""","9,759.333",193,-30
100,T100,T100,Kevin Streelman,79,"50' 7""","9,607.333",190,-27
101,102,102,Ryo Ishikawa,75,"50' 8""","8,917.167",176,-31
102,103,103,Justin Hicks,103,"50' 9""","14,351.500",283,+8
103,T104,T104,Freddie Jacobson,91,"50' 10""","12,410.083",244,-13
104,T104,T104,D.A. Points,75,"50' 10""","8,948.583",176,-4
