,PLAYER NAME,AVG RTP
0,Bubba Watson,-.075
1,Stewart Cink,-.046
2,Jordan Spieth,-.034
3,Matt Kuchar,-.029
4,Dustin Johnson,-.025
5,Keegan Bradley,-.010
6,Boo Weekley,-.009
7,Tony Finau,-.004
8,Russell Henley,E
9,Webb Simpson,E
10,Jason Kokrak,+.006
11,Morgan Hoffmann,+.007
12,Bill Haas,+.008
13,Brendan Steele,+.015
14,Henrik Stenson,+.019
15,Jason Day,+.024
16,D.A. Points,+.025
17,Patrick Reed,+.031
18,Francesco Molinari,+.036
19,Pat Perez,+.037
20,Ryo Ishikawa,+.041
21,Jason Dufner,+.042
22,Jim Furyk,+.047
23,Brooks Koepka,+.047
24,Robert Streb,+.047
25,Justin Thomas,+.048
26,Willy Wilcox,+.051
27,Jerry Kelly,+.052
28,Jonathan Byrd,+.053
29,Chad Collins,+.056
30,Paul Casey,+.057
31,Rory Sabbatini,+.057
32,Louis Oosthuizen,+.060
33,Mark Wilson,+.060
34,Blayne Barber,+.061
35,Brandt Snedeker,+.063
36,Martin Flores,+.065
37,Johnson Wagner,+.065
38,Bill Lunde,+.066
39,Robert Allenby,+.070
40,Scott Stallings,+.070
41,Steven Bowditch,+.073
42,Jamie Donaldson,+.074
43,Chris Kirk,+.074
44,J.B. Holmes,+.075
45,Ryan Palmer,+.075
46,Brian Harman,+.076
47,Daniel Summerhays,+.077
48,Hideki Matsuyama,+.080
49,Luke Guthrie,+.081
50,Charley Hoffman,+.083
51,Jason Bohn,+.085
52,Andres Romero,+.087
53,Oscar Fraustro,+.089
54,Charl Schwartzel,+.093
55,Jon Curran,+.094
56,Charles Howell III,+.094
57,Sean O'Hair,+.094
58,Jonas Blixt,+.098
59,Tyrone Van Aswegen,+.098
60,Scott Langley,+.102
61,Shawn Stefani,+.103
62,Jimmy Walker,+.103
63,Brendon de Jonge,+.104
64,Danny Lee,+.104
65,Erik Compton,+.105
66,Kevin Kisner,+.105
67,Bryce Molder,+.105
68,Scott Brown,+.106
69,Scott Pinckney,+.106
70,Alex Prugh,+.106
71,Derek Ernst,+.107
72,Andrew Putnam,+.107
73,S.J. Park,+.109
74,Brendon Todd,+.110
75,Gary Woodland,+.111
76,Daniel Berger,+.112
77,Patrick Rodgers,+.113
78,Ricky Barnes,+.114
79,Ben Crane,+.114
80,James Hahn,+.114
81,Cameron Percy,+.114
82,Padraig Harrington,+.116
83,Matt Jones,+.116
84,Marc Leishman,+.116
85,George McNeill,+.117
86,Greg Chalmers,+.118
87,Ken Duke,+.119
88,Derek Fathauer,+.119
89,Hudson Swafford,+.120
90,Colt Knost,+.123
91,Martin Laird,+.123
92,Tom Hoge,+.124
93,Luke Donald,+.126
94,Aaron Baddeley,+.127
95,Chad Campbell,+.127
96,John Peterson,+.128
97,Billy Hurley III,+.129
98,Carlos Ortiz,+.129
99,Eric Axley,+.131
100,Michael Thompson,+.134
101,Phil Mickelson,+.135
102,Jim Herman,+.136
103,Russell Knox,+.136
104,Jason Gore,+.138
105,Carl Pettersson,+.138
106,J.J. Henry,+.140
107,Troy Merritt,+.140
108,Brian Davis,+.141
109,Gonzalo Fdez-Castano,+.141
110,Charlie Beljan,+.143
111,Zach Johnson,+.146
112,Alex Cejka,+.147
113,Michael Putnam,+.147
114,Jonathan Randolph,+.147
115,Harris English,+.149
116,Hunter Mahan,+.149
117,Zac Blair,+.151
118,William McGirt,+.151
119,Ryan Moore,+.151
120,Vijay Singh,+.151
121,Steve Wheatcroft,+.151
122,Bo Van Pelt,+.152
123,Camilo Villegas,+.152
124,Max Homa,+.153
125,Kevin Streelman,+.153
126,K.J. Choi,+.155
127,Andres Gonzales,+.155
128,Sangmoon Bae,+.156
129,Ernie Els,+.157
130,Whee Kim,+.157
131,Steven Alker,+.158
132,Nick Taylor,+.158
133,David Toms,+.158
134,Scott Piercy,+.162
135,Davis Love III,+.164
136,Greg Owen,+.165
137,Nick Watney,+.167
138,Sergio Garcia,+.169
139,Jeff Overton,+.169
140,Mark Hubbard,+.170
141,John Huh,+.171
142,John Senden,+.171
143,Billy Horschel,+.172
144,Ian Poulter,+.173
145,Brian Stuard,+.173
146,Justin Rose,+.177
147,Brice Garnett,+.180
148,Adam Hadwin,+.180
149,Seung-Yul Noh,+.180
150,Nicholas Thompson,+.182
151,Geoff Ogilvy,+.183
152,Angel Cabrera,+.185
153,David Lingmerth,+.185
154,Kevin Chappell,+.187
155,Chesson Hadley,+.190
156,Jhonattan Vegas,+.191
157,Spencer Levin,+.193
158,David Hearn,+.194
159,Justin Leonard,+.197
160,Chez Reavie,+.203
161,Heath Slocum,+.203
162,Kyle Reifers,+.204
163,Robert Garrigus,+.206
164,Rickie Fowler,+.208
165,Byron Smith,+.213
166,Cameron Tringale,+.213
167,Chris Stroud,+.214
168,Graham DeLaet,+.216
169,Jim Renner,+.218
170,Lee Westwood,+.220
171,Retief Goosen,+.227
172,Sam Saunders,+.233
173,Tim Wilkinson,+.240
174,Adam Scott,+.242
175,Kevin Na,+.243
176,Fabian Gomez,+.248
177,John Merrick,+.250
178,Andrew Svoboda,+.257
179,Lucas Glover,+.263
180,Ben Martin,+.269
181,Roberto Castro,+.283
182,Roger Sloan,+.290
183,Matt Every,+.381
