,PLAYER NAME,AVG.
0,Rory McIlroy,319.9
1,Dustin Johnson,314.0
2,Brandon Hagy,313.5
3,Luke List,311.9
4,Ryan Brehm,310.8
5,Andrew Loupe,310.8
6,Justin Thomas,310.5
7,Tony Finau,309.9
8,Brooks Koepka,309.2
9,Kevin Tway,309.2
10,Trey Mullinax,308.8
11,Grayson Murray,308.5
12,Bubba Watson,308.1
13,Gary Woodland,307.5
14,J.B. Holmes,307.4
15,Patrick Rodgers,307.2
16,Jon Rahm,306.9
17,Adam Scott,306.8
18,Hudson Swafford,306.0
19,Xander Schauffele,305.9
20,Jason Kokrak,305.7
21,Hideki Matsuyama,304.8
22,Smylie Kaufman,304.7
23,Jason Day,304.6
24,Kevin Chappell,304.3
25,Jamie Lovemark,303.9
26,Ryan Palmer,303.3
27,Sergio Garcia,302.6
28,Harold Varner III,302.2
29,Graham DeLaet,302.1
30,Jhonattan Vegas,302.0
31,Matt Jones,301.9
32,Rickie Fowler,301.3
33,Tag Ridings,301.3
34,Brendan Steele,300.8
35,Robert Garrigus,300.7
36,Justin Rose,300.7
37,Ollie Schniederjans,300.7
38,Nick Watney,300.6
39,Harris English,300.5
40,Marc Leishman,300.2
41,Byeong Hun An,300.0
42,Bryson DeChambeau,299.5
43,Martin Flores,299.1
44,Charl Schwartzel,298.9
45,Andres Gonzales,298.8
46,Billy Horschel,298.7
47,Russell Henley,298.6
48,Charley Hoffman,298.6
49,Seamus Power,298.6
50,Keegan Bradley,298.4
51,Seung-Yul Noh,298.4
52,Sean O'Hair,298.1
53,Charles Howell III,298.0
54,Jimmy Walker,297.8
55,Cody Gribble,297.7
56,Sung Kang,297.1
57,Rick Lamb,296.8
58,Scott Stallings,296.8
59,Daniel Berger,296.7
60,Lucas Glover,296.7
61,Paul Casey,296.6
62,Matt Every,296.6
63,Kyle Stanley,296.4
64,Alex Noren,296.0
65,Bud Cauley,295.7
66,Tyrrell Hatton,295.7
67,Martin Laird,295.5
68,Brian Campbell,295.4
69,Scott Piercy,295.4
70,Patrick Reed,295.4
71,Stewart Cink,295.3
72,Andrew Johnston,295.3
73,Anirban Lahiri,295.2
74,Sebastián Muñoz,295.2
75,Phil Mickelson,295.1
76,Louis Oosthuizen,294.8
77,James Hahn,294.7
78,Greg Owen,294.7
79,Emiliano Grillo,294.6
80,Jordan Spieth,294.6
81,Dominic Bozzelli,294.4
82,J.T. Poston,294.4
83,Robert Streb,294.3
84,Shane Lowry,294.0
85,Shawn Stefani,294.0
86,Kevin Streelman,294.0
87,Mackenzie Hughes,293.9
88,Morgan Hoffmann,293.8
89,Jim Herman,293.5
90,Hunter Mahan,293.3
91,Adam Hadwin,293.1
92,J.J. Henry,293.0
93,Jason Dufner,292.7
94,Julián Etulain,292.6
95,Branden Grace,292.5
96,Sam Saunders,292.4
97,Kelly Kraft,292.3
98,Francesco Molinari,292.3
99,Cameron Percy,292.2
100,Bill Haas,291.9
101,Patton Kizzire,291.9
102,Aaron Baddeley,291.7
103,Cameron Smith,291.7
104,Nick Taylor,291.6
105,Ben Martin,291.5
106,Gonzalo Fdez-Castano,291.4
107,Rafa Cabrera Bello,291.2
108,J.J. Spaun,291.2
109,Rory Sabbatini,291.1
110,Danny Lee,291.0
111,Pat Perez,291.0
112,Bobby Wyatt,290.8
113,Retief Goosen,290.7
114,Vijay Singh,290.7
115,Richy Werenski,290.4
116,Blayne Barber,290.3
117,Rod Pampling,290.1
118,David Lingmerth,289.9
119,Boo Weekley,289.9
120,Whee Kim,289.5
121,Michael Kim,289.4
122,Brian Harman,289.2
123,Joel Dahmen,289.1
124,Troy Merritt,289.1
125,Jonas Blixt,289.0
126,Kevin Kisner,288.7
127,Si Woo Kim,288.4
128,Russell Knox,288.0
129,Scott Brown,287.9
130,Brett Stegmaier,287.9
131,Camilo Villegas,287.6
132,Chris Kirk,287.4
133,Ryo Ishikawa,287.3
134,Ryan Moore,287.3
135,Zach Johnson,287.2
136,Daniel Summerhays,287.2
137,Miguel Angel Carballo,287.0
138,Johnson Wagner,287.0
139,C.T. Pan,286.9
140,Nicholas Lindheim,286.8
141,Brad Fritsch,286.6
142,John Huh,286.6
143,Chris Stroud,286.6
144,Tyrone Van Aswegen,286.6
145,Derek Fathauer,286.5
146,Kyle Reifers,286.4
147,John Peterson,286.3
148,Steven Bowditch,286.2
149,Jonathan Randolph,286.2
150,Brett Drewitt,286.1
151,Geoff Ogilvy,285.8
152,Matt Kuchar,285.5
153,Matthew Fitzpatrick,285.4
154,Fabián Gómez,285.1
155,Hideto Tanihara,285.0
156,William McGirt,284.9
157,Webb Simpson,284.8
158,Michael Thompson,284.8
159,Chad Campbell,284.7
160,Tom Hoge,284.7
161,Kevin Na,284.6
162,John Senden,284.3
163,Ricky Barnes,284.0
164,Ryan Blaum,284.0
165,Ernie Els,283.4
166,Chez Reavie,283.2
167,Mark Anderson,282.8
168,Ian Poulter,282.5
169,Alex Cejka,281.6
170,Mark Hubbard,281.6
171,Peter Malnati,281.4
172,Will MacKenzie,281.3
173,Brandt Snedeker,281.3
174,Chad Collins,281.2
175,Vaughn Taylor,281.1
176,Steve Stricker,280.9
177,K.J. Choi,280.8
178,Roberto Castro,280.6
179,Cameron Tringale,280.6
180,Steve Wheatcroft,280.5
181,Wesley Bryan,280.3
182,David Hearn,280.0
183,Carl Pettersson,279.8
184,Graeme McDowell,278.3
185,Brian Gay,278.1
186,Spencer Levin,277.9
